Mission ID,Mission Name Short,Mission Name Full,Mission Agencies,Mission Status,Launch Date,EOL Date,Applications,Instruments,Instrument IDs,Orbit Type,Orbit Altitude,Orbit Period,Orbit Inclination,Repeat Cycle,Orbit LST,Orbit Longitude,Orbit Sense,Mission Site,Data Access Portal
377,Aeolus,Atmospheric Dynamics Mission (Earth Explorer Core Mission),ESA,Operational (nominal),22-Aug-18,Dec-22,"Will provide wind profile measurements for global 3D wind field products used for study of atmospheric dynamics, including global transport of energy, water, aerosols, and chemicals.",ALADIN,375,Sun-synchronous,320 km,92.5 mins,97.01 deg,7,18:00,,Ascending,http://www.esa.int/export/esaLP/aeolus.html,
714,AISSat-2,Automatic Identification System Satellite-2,NOSA,Operational (extended),08-Jul-14,Dec-22,Extend access to AIS (Automatic Identification System) signals beyond the land-based AIS system operated by the Norwegian Coastal Administration today. Observe ship traffic in the High North.,AIS,1699,Sun-synchronous,628 km,97 mins,98.4 deg,,05:30:00,,Descending,,
932,Aist-2T N1,Environmental Satellite Aist-2T N1,ROSKOSMOS,Planned,2023,2028,"Earth resources, environmental and disaster monitoring, cartography.",,,Sun-synchronous,,,,,,,TBD,,
933,Aist-2T N2,Environmental Satellite Aist-2T N2,ROSKOSMOS,Planned,2023,2028,"Earth resources, environmental and disaster monitoring, cartography.",,,Sun-synchronous,,,,,,,TBD,,
629,ALOS-2,Advanced Land Observing Satellite-2,JAXA,Operational (extended),24-May-14,Dec-23,"Environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface and ocean monitoring.","CIRC, PALSAR-2 (ALOS-2)","1666, 1589",Sun-synchronous,628 km,97 mins,97.9 deg,14,12:00,,Descending,https://global.jaxa.jp/projects/sat/alos2/index.html,
630,ALOS-3,Advanced Land Observing Satellite-3,JAXA,Approved,Mar-23,Mar-29,"Disaster monitoring, coastal and land environmental monitoring, the maintenance and updates of precise geospatial information. Mission instruments will be Optical Sensors (Pan, Multi).",,,Sun-synchronous,669 km,98 mins,98.1 deg,35,10:30,,Descending,http://global.jaxa.jp/projects/sat/alos3/,
861,ALOS-4,Advanced Land Observing Satellite-4,JAXA,Approved,Mar-23,Mar-30,"Environmental monitoring, disaster monitoring, civil planning, agriculture and forestry, Earth resources, land surface.",ALOS-4 SAR (L-band),1803,Sun-synchronous,628 km,97 mins,97.9 deg,14,12:00,,Descending,http://global.jaxa.jp/projects/sat/alos4/,
985,ALTIUS,Atmospheric Limb Tracker for Investigation of the Upcoming Stratosphere (ALTIUS),ESA,Approved,May-25,May-28,"Altius carries a high-resolution 2D imager that observes ozone from the side, at Earth's limb or atmospheric boundary.",ALTIUS Instrument,1958,Sun-synchronous,668 km,,,3,Fixed between 10:00 â€“ 14:00,,,,
602,AMAZONIA-1,Amazonia 1,INPE,Operational (nominal),28-Feb-21,Feb-25,"Earth resources, environmental monitoring, land surface.",WFI-2 (Amazonia-1),1698,Sun-synchronous,752 km,99.9 mins,98.4 deg,26,10:30,,Descending,http://www.inpe.br/amazonia-1,http://www2.dgi.inpe.br/catalogo/explore
206,Aqua,Aqua (formerly EOS PM-1),"NASA, JAXA, INPE",Operational (extended),04-May-02,Sep-23,"6-year nominal mission life, currently in extended operations. Atmospheric dynamics / water and energy cycles, cloud formation, precipitation and radiative properties, air / sea fluxes of energy and moisture, sea ice extent and heat exchange with the atmosphere. The HSB instrument failed on the 5th of February 2003.","AIRS, AMSR-E, AMSU-A, CERES, HSB, MODIS","347, 664, 1555, 397, 442, 395",Sun-synchronous,705 km,98.8 mins,98.2 deg,16,13:30,,Ascending,https://eospso.nasa.gov/missions/aqua,https://search.earthdata.nasa.gov/search?q=AQUA&ok=AQUA
713,Arctica-M N1,Hydro-meteorological Satellite Arctica-M N1,"ROSKOSMOS, ROSHYDROMET",Operational (nominal),28-Feb-21,Feb-28,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
751,Arctica-M N2,Hydro-meteorological Satellite Arctica-M N2,"ROSKOSMOS, ROSHYDROMET",Planned,2023,2033,"Meteorology, oceanography, including ice cover monitoring, enviromental climate and disaster monitoring in the Arctic region.","GGAK-VE, MSU-GS/VE","1685, 1691",Highly elliptical,,720 mins,63.4 deg,1,,,Ascending,https://www.laspace.ru/projects/information-systems/arctica-m/,
207,Aura,Aura (formerly EOS Chemistry),"NASA, NSO, FMI, NIVR, UKSA",Operational (extended),15-Jul-04,Sep-23,"6-year nominal mission life, currently in extended operations. Measurements of aerosol and cloud properties for climate predictions, using a 3-channel lidar and passive instruments in formation with CloudSat for coincident observations of radiative fluxes and atmospheric state.","HiRDLS, MLS (EOS-Aura), OMI, TES","351, 126, 630, 349",Sun-synchronous,705 km,98.8 mins,98.2 deg,16,13:38,,Ascending,http://aura.gsfc.nasa.gov/,https://search.earthdata.nasa.gov/search?q=AURA
986,AWS,Arctic Weather Satellite,ESA,Approved,Mar-24,Mar-29,Provides high spatial resolution humidity and temperature soundings in all weather conditions. The AWS constellation would in addition provide high revisit and timely data.,MWR (AWS),1959,Sun-synchronous,595 km,97 mins,97.79 deg,3,10:00:00,,Ascending,,
768,Biomass,Biomass,ESA,Approved,Dec-23,Aug-29,Will provide global maps of forest biomass and height (at 200 m resolution) and forest disturbance (at 50 m resolution) every 6 months,P-Band SAR,1722,Sun-synchronous,660 km,102.6 mins,97.97 deg,,06:00,,Ascending,,
422,CALIPSO,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations,"NASA, CNES",Operational (extended),28-Apr-06,Sep-23,"3-year nominal mission life, currently in extended operations. Measurements of aerosol and cloud properties for climate predictions, using a 3 channel lidar and passive instruments in formation with CloudSat for coincident observations of radiative fluxes and atmospheric state.","CALIOP, IIR, WFC","820, 696, 642",Sun-synchronous,685 km,98.3 mins,98.2 deg,,,,Ascending,http://www-calipso.larc.nasa.gov/,https://search.earthdata.nasa.gov/search?fp=CALIPSO
855,CARBONITE-2,CARBONITE-2,UKSA,Operational (nominal),12-Jan-18,Dec-22,Optical video imaging in a technology demonstration mission. Second satellite in the CARBONITE series of technology demonstration missions designed to demonstrate rapid-build techniques and to test COTS components and new avionics in orbit.,CARBONITE-2 Imager,1796,Sun-synchronous,500 km,94.6 mins,97.5 deg,,10:15:00,,Ascending,http://www.sstl.co.uk,
703,CARTOSAT-2A,Cartography Satellite - 2A,ISRO,Operational (extended),28-Apr-08,Dec-23,High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.,PAN (Cartosat-2A/2B),1586,Sun-synchronous,635 km,97.4 mins,97.87 deg,5,09:30,,Descending,,
672,CARTOSAT-2B,Cartography Satellite - 2B,ISRO,Operational (extended),12-Jul-10,Dec-23,High precision large-scale cartographic mapping of 1:10000 scale and thematic applications (with merged XS data) at 1:4000 scales.,PAN (Cartosat-2A/2B),1586,Sun-synchronous,635 km,97.4 mins,97.87 deg,5,09:30,,Descending,,
704,CARTOSAT-2C,Cartography Satellite - 2C,ISRO,Operational (extended),22-Jun-16,Dec-23,High precision large-scale cartographic mapping and thematic applications with MX data at 1:4000 scales.,"HRMX, PAN (Cartosat-2C/2E)","1603, 1647",Sun-synchronous,635 km,97.4 mins,97.87 deg,5,09:30,,Descending,,
738,CARTOSAT-2E,Cartography Satellite - 2E,ISRO,Operational (nominal),23-Jun-17,Dec-23,High precision large-scale cartographic mapping and thematic applications with MX data at 1:4000 scales.,"HRMX, PAN (Cartosat-2C/2E)","1603, 1647",Sun-synchronous,500 km,97.4 mins,97.87 deg,5,09:30,,Descending,,
565,CARTOSAT-3,Cartography Satellite - 3,ISRO,Operational (nominal),27-Nov-19,Nov-24,Suitable for cadastral and infrastructure mapping and analysis.,"MX (Cartosat-3), PAN (Cartosat-3)","1611, 917",Sun-synchronous,450 km,,97.9 deg,,10:30,,Descending,http://www.isro.org/,
784,CAS500-1,Compact Advanced Satellite 500 -1,"KARI, KAI, NGII",Operational (nominal),22-Mar-21,Mar-25,"Cartography, land use and planning",High Resolution Optical Sensor,1740,Sun-synchronous,528 km,98.5 mins,98.1 deg,28,10:50,,Ascending,,
905,CAS500-2,Compact Advanced Satellite 500 -2,"KAI, NGII, KARI",Approved,Dec-23,May-27,"Cartography, land use and planning",High Resolution Optical Sensor (CAS500-2),1990,Sun-synchronous,528 km,98.5 mins,98.1 deg,28,10:50,,Ascending,,
1014,CAS500-4,Compact Advanced Satellite 500 -4,"KAI, KARI",Approved,Dec-23,Dec-28,Agricultural and forest monitoring,Compact Advanced Payload Wide Swath (CAS500-4),1991,Sun-synchronous,900 km,98.5 mins,98.1 deg,28,10:50:00,,Ascending,,
1015,CAS500-5,Compact Advanced Satellite 500 -5,"KAI, KARI",Approved,Dec-25,Dec-29,Water resource monitoring,SAR (CAS500-5),1992,Sun-synchronous,505 km,98.5 mins,98.1 deg,28,10:50:00,,Ascending,,
393,CBERS-4,China Brazil Earth Resources Satellite - 4,"INPE, CRESDA",Operational (extended),07-Dec-14,Dec-23,"Earth resources, environmental monitoring, land surface.","DCS , IRS, MUX, PAN (CBERS), WFI-2","822, 866, 818, 867, 817",Sun-synchronous,778 km,100.3 mins,98.5 deg,26,10:30,,Descending,http://www.cbers.inpe.br/,http:/www2.dgi.inpe.br/catalogo/explore
775,CBERS-4A,China Brazil Earth Resources Satellite - 4,"INPE, CRESDA",Operational (nominal),20-Dec-19,Dec-24,"Earth resources, environmental monitoring, land surface.","DCS, MUX (CBERS-4A), WFI (CBERS-4A), WPM","822, 1731, 1732, 1733",Sun-synchronous,629 km,97.3 mins,97.9 deg,31,10:30,,Descending,http://www.cbers.inpe.br/,http://www2.dgi.inpe.br/catalogo/explore
725,CDARS,CDARS,"NOAA, USAF",Approved,Oct-22,Dec-25,Maintain three-orbit continuity for the Argos and SARSAT-COSPAS programs.,"ARGOS-4, S&R (NOAA)","694, 189",Sun-synchronous,,,,,,,Ascending,http://www.nesdis.noaa.gov/jpss/,
723,CFOSAT,Chinese-French Oceanic SATellite,"CNES, CNSA",Operational (nominal),29-Oct-18,Oct-23,The primary objective of CFOSAT is to monitor at the global scale the wind and waves at the ocean surface.,"SCAT, SWIM","1645, 1644",Sun-synchronous,519 km,94.7 mins,97.5 deg,,7am,,Descending,,
