,title,par_num,paragraph
0,France Space Defence Strategy 2019,1,"SPACE DEFENCE STRATEGYReport of the Space working group 2019THE FRENCH MINISTRY FOR THE ARMED FORCESSPACE  DEFENCE STRATEGY4 5SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019A new frontier  is the memorable phrase used by John Fitzgerald Kennedy to describe space in his speech accepting the Democratic presidential nomination in 1960. A new horizon for the development of human knowledge had been identified and the space race had begun. If space was once a new frontier to be crossed, it is now a new front that we have to defend. In a world at the mercy of live, unpredictable, technological threats, and at a time when powers are looking to assert themselves, space is a cornerstone of our defence. Space capabilities are a critical factor of all our operations, whether anticipating and planning manoeuvres, locating the enemy, guiding our forces in the field or communicating. The sudden emergence of disruptive innovation methods in the space sector  known generically as New Space  calls for a change in the way we approach the development of our space capabilities. Alongside central governments, private-sector actors play a key role in the economic development of a space industry which is now more flexible, more innovative, more connected to other segments of the economy. The United States and China have long grasped the importance of this crucial turning-point for the development of our societies. Europe and France cannot turn a blind eye to an emerging area of potential conflict.That is why the President of the Republic has made"
0,France Space Defence Strategy 2019,2,"space a priority for our defence. We must concentrate our efforts on identifying and characterising unfriendly or hostile acts in the vicinity of our satellites, on continuing to develop our means of operational support, protecting our space assets and discouraging our adversaries from harming them. In response to these challenges, the Armed Forces Ministry has devised an ambitious space defence strategy for the period to 2030, spanning all aspects. While the renewal of our entire satellite capability is already scheduled under the Military Planning Act, an additional effort will be made to enhance our space situational awareness and acquire initial capabilities in newly identified areas, especially the detection of potentially malicious space activities and the protection of our space assets. We will step up cooperation with our European partners while maintaining our close relationship with the United States. I am also counting on our industrial partners to continue and nurture the relations of trust we have established.  In terms of governance, the President of the Republic has announced the creation of a major space command, attached to the Air Force, whose sole purpose will be to prepare us for these new challenges. The Air Force will thus become the Air and Space Force. It marks a historic turning-point.In order to meet these challenges and carry out genuine military space operations we will have to strengthen geographical and functional synergies with CNES, which has a tremendous pool of space expertise and is a real asset for France and its defence. We have everything we need to"
0,France Space Defence Strategy 2019,3,"succeed. I will ensure with the utmost determination that the space defence strategy described in the following pages is implemented. I believe in France, the third largest space power. We have been among the pioneers. We are about to become the vanguard.Florence ParlyMinister for the armed forces6 7SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019EXECUTIVE SUMMARY ................................................................. 81  SPACE IS AN ESSENTIAL DOMAIN FOR THE ARMED FORCES BUT  ACCESS TO IT IS BECOMING INCREASINGLY CONTESTED  .......... 131.1  Space is a domain in its own right, used until now mainly for strategic purposes and operational support  ...................................................... 131.1.1  A specific geography with restrictive physical laws ........ 131.1.2  A liberal legal framework ................................................ 151.1.3  A vector of strategic capabilities essential  to our operations ............................................................... 171.1.4  A key factor for the operation of our economies  and societies ...................................................................... 191.2  In a context of fiercer industrial and strategic competition, our freedom  of access and action could be compromised  ....................................... 201.2.1  New Space is disrupting the existing equilibrium ............... 201.2.2  Strategic competition is hotting up, operational contexts are evolving ............................................................................. 211.2.3  Emerging new threats could compromise our freedom of access and action ..............................................  ................... 232  AN AMBITIOUS SPACE DEFENCE POLICY TO ENSURE OUR STRATEGIC AUTONOMY .................................................... 242.1  Respond to threats in new operational contexts ................................ 252.1.1  Consolidate and assert our strategy within the existing  international legal framework ................................................ 252.1.2  Adapt the domestic legal framework to match"
0,France Space Defence Strategy 2019,4," our ambition ...................................................................... 272.2 Grasp opportunities to build up our strategic autonomy ................. 282.2.1  Take advantage of the disruptive technologies and uses as-sociated with New Space ................................................... 282.2.2  Rethink our industrial model ............................................. 302.2.3   Extend cooperation to space operations and open it up to new partners ..................................................................... 323  ROADMAP  ................................................................................ 353.1  Strengthen French space defence doctrine  .................................. 353.1.1  Military space operations ...................................................... 353.1.2  Frame the doctrine for the conduct of space operations .... 383.1.3  Evaluate the threats affecting our space capabilities .......... 393.1.4  Enhance our armed forces capability to operate without space support .................................................................... 393.2  Adapt military space governance to our ambitions  ........................ 403.2.1  Reorganise the chain of command for space assets  within the Armed Forces Ministry in order to achieve  our ambitions ........................................................................... 403.2.2  Rethink the relationship between  the Armed Forces Ministry and CNES .................................... 413.3  Develop space capabilities in response to our ambitions  .................. 443.3.1  Secure space operational support capabilities  in the long term ....................................................................... 443.3.2  Prioritise the development of an SSA capability  .................... 453.3.3  Protecting and hardening our space capabilities .................. 483.3.4  Acquire a capability to defend our interests  .......................... 483.3.5  Contribute to ballistic missile defence (BMD) ....................... 493.4  Develop space defence expertise ....................................................... 503.4.1  A training resource: the space academy ................................ 503.4.2  Specific, varied and well-rewarded career paths .................. 513.4.3  Greater visibility, recognition and attractiveness .................. 52ANNEXES ...................................................................................."
0,France Space Defence Strategy 2019,5,"53MEMBERSHIP OF THE WORKING GROUP .................................... 54ABBREVIATIONS  ......................................................................... 57CONTENTS8 9SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019EXECUTIVE SUMMARYA revolution is taking place in the use of space, as in many sectors in which technology plays a decisive role. Affecting commercial, industrial and geostrategic interests, it presents so many challenges, including of a security nature, that France cannot simply ignore it. A space power for decades, France has undeniable assets and our armed forces have been using space for many years, mainly for strategic intelligence purposes and to support land, air and sea operations. Emerging technologies in what is generally referred to as New Space are paving the way not only for new opportunities that should be grasped but also for new threats that need to be addressed. The current French space model needs to be rethought in order to adapt to these disruptions. While the approach to space as an enabler is indeed being modernised, the notion of space as a domain with its own challenges has not yet been fully addressed. That is the aim of this report, which outlines the future of our space defence in accordance with a roadmap that looks to 2030 and beyond. It is intended to inform interministerial discussions that take place elsewhere. ***The use of outer space is governed by a specific legal framework which guarantees freedom of exploration and use to all. There is no call to revise existing space treaties. However, our freedom of access to and action in space could be compromised. The"
0,France Space Defence Strategy 2019,6,"sudden emergence of New Space is tilting the existing balances: disruptive technologies and uses and faster-moving innovation cycles are rapidly changing the criteria on which space power is based. Both a threat and an opportunity, these developments are forcing us to rethink both our industrial model and our governance of space. Strategic competition is hotting up. Our space capabilities contribute to the strategic knowledge-and-anticipation function, reinforce the credibility of our deterrent and support our operations, whether through observation, telecommunications, signals intelligence or navigational assistance. They contribute to our operational superiority, fully justifying the resources earmarked for them under the Military Planning Act 2019-2025. These capabilities must therefore be secured for the future and renewed. But there is more to be done: French actors in both the public and the private sector must guard against more recent threats, such as the proliferation of space debris, jamming, blinding and directed-energy weapons.***This new environment implies a space defence strategy founded on the protection of our capabilities. That involves first and foremost improving our space situational awareness (SSA), especially in order to detect and attribute unfriendly or hostile acts in all orbits of interest and defend ourselves against them. Without calling into question the peaceful and responsible use of space, that aim will be pursued within the existing legal framework, especially for self-defence within the meaning of the United Nations Charter. Promoting responsible behaviour and best practices and contributing to the definition of international standards will also form part of the strategy.The domestic legal framework will also have to be"
0,France Space Defence Strategy 2019,7,"adapted at interministerial level in order to take better account of the specific characteristics of military space operations, the scope of which will be extended (in particular the role of operator, manoeuvres and security requirements). A definition will also be needed of trusted operators on which the Ministry may call for services to support operations and ensure their resilience, so that asset acquisition can focus on the most strategic sectors.That strategy must take advantage of the opportunities offered by New Space. Over the coming years, the use of constellations of 10 11SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019small satellites will help to improve our military capabilities and our resilience in relation to observation, telecommunications and space surveillance. Downstream, processing the mass of data produced will be a major issue: automation and artificial intelligence will be crucial in order to extract maximum value from the Ministrys investments over the period of the Military Planning Act (MPA).In industrial terms, French companies have technologies that foster the development of these capabilities, whether they operate in a purely domestic or, in many cases, a multinational framework. They must be given support: innovation must be stimulated by a revised system of state governance, and balances within the ecosystem of start-ups, SMEs, intermediate-sized enterprises and major contractors should be reset. For launchers, the current model will be sustained by the reassertion of European preference for institutional launches. European cooperation will be pursued mainly around a Franco-German core based on complementary SSA resources with a view to laying the foundations"
0,France Space Defence Strategy 2019,8,"for an autonomous European space capability in the future. However, this does not rule out the pursuit or development of cooperation with other international partners, especially the United States.***That strategic ambition will be backed up firstly by a revised doctrine for military space operations based on four functions: space service support, situational awareness, operations support and active space defence. The revision of doctrine must be underpinned by a consolidated assessment of the threats to our capabilities. Another priority must be to strengthen the overall resilience of our armed forces, which must remain capable of acting without space support.In order to immediately impart fresh impetus, the chain of command for space assets within the Armed Forces Ministry will be adapted in accordance with the principles of joint operational effectiveness, sustainability, coherence of the domain and visibility of the organisation. A specific space pillar within the Air Force, which could be renamed the Air and Space Force, will be set up in the summer of 2019. The various military space organisations will gradually be brought together within it, following a rationale of fostering closer functional and geographical links with CNES, the National Centre for Space Studies. In addition, a start may already be made on identifying financial and organisational synergies, especially in the management of space programmes and operations, in order to rethink the relationship between the Armed Forces Ministry and CNES. Areas of particular attention for the management of space programmes are the division of commissioning-authority responsibilities and the Ministrys exercise of oversight over CNES, and the"
0,France Space Defence Strategy 2019,9,"refocusing of state expertise on projects (R&T, demonstrators, etc.) where the degree of industrial maturity is not yet sufficient. The defence innovation agency must also provide input into the guidelines for space R&T carried out by CNES and ONERA, the French Aerospace Research Centre.In terms of capability, it is essential to ensure the long-term viability of assets which provide strategic intelligence and operations support, making greater use of automated mass data processing and building connectivity into future weapons programmes from the outset. Developing a comprehensive SSA capability will be a priority. A number of steps will be taken as of 2019, including studies for the renewal and extension of existing capabilities and services, a specific cooperation initiative with Germany and the evaluation of industrial projects for the observation of space from space. Active and passive measures to protect satellites whose placement in orbit is already scheduled will be stepped up. In addition, a genuine capability for action in space will be acquired by 2030, drawing on feedback from demonstrators developed under MPA 2019-2025. The constitution of a pool of experts and the creation of attractive career paths are key factors of autonomy and success in helping 12 13SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019to guide and achieve this new ambition. The establishment of a space academy will help to coordinate the necessary training for military personnel and ministry staff operating in the space domain.***Overall, this space defence strategy marks a turning-point for the future of our armed forces and for Frances capacity to"
0,France Space Defence Strategy 2019,10,"act in all domains and maintain its strategic autonomy of assessment and decision. Although we will still need armed forces capable of gaining operational superiority on land, at sea and in the air, as well as in the more recent spheres of cyber and influence, space must henceforth be seen as the fifth domain of action in which our military strategy will be rolled out. We must unflinchingly address that new situation and ensure that in the future France will have the means to defend itself in space.  1  SPACE IS AN ESSENTIAL DOMAIN FOR THE ARMED FORCES BUT ACCESS TO IT IS BECOMING INCREASINGLY CONTESTEDSpace makes a vital contribution to our security and to the operation of our economies and societies. Although we are becoming increasingly dependent on space, growing tensions in that area threaten our freedom of access and action. 1.1  Space is a domain in its own right, used until now mainly for strategic purposes and operational support 1.1.1  A specific geography with restrictive physical laws. The specific conditions that prevail in space make it a domain in its own right, even if there is no clear-cut physical frontier with airspace or Earths atmosphere. It can essentially be divided into two zones, near-Earth space and outer space. Until around 2040, near space is likely to be the area of particular interest for the armed forces. Near space is subdivided into three main orbital zones:14 15SPACE DEFENCE STRATEGY  2019 SPACE DEFENCE STRATEGY  2019-  Low Earth Orbits (LEO),"
