,title,link,authors,source,par_num,paragraph
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat - A destructive Laboratory Test of a Satellite 1,"DebriSat - A destructive Laboratory Test of a Satellite Spacecraft     Impact Test    Automated Imaging    References The DebriSat project is a collaboration among NASA, the USAF (U.S. Air Force), The Aerospace Corporation, and the University of Florida for laboratory-based hypervelocity impact experiments on a representative, modern LEO satellite and an upper stage mockup. The objective is to characterize the physical properties of impact fragments to improve satellite breakup models and space situational awareness. The DebriSat project will update and expand upon the information obtained in the 1992 SOCIT (Satellite Orbital Debris Characterization Impact Test), which characterized the breakup of a 1960's US Navy Transit satellite. There are three phases to this project: the design and fabrication of DebriSat - an engineering model representing a modern, 60 cm/50 kg class LEO satellite; conduction of a laboratory-based hypervelocity impact to catastrophically break up the satellite; and characterization of the properties of breakup fragments down to 2 mm in size. The data obtained, including fragment size, area-to-mass ratio, density, shape, material composition, optical properties, and radar cross-section distributions, will be used to supplement the DoD's and NASA's satellite breakup models to better describe the breakup outcome of a modern satellite. A key element to provide good short- and long-term OD (Orbital Debris) environment definition and OD impact risk assessments for critical space assets is the ability to reliably predict the outcome of a satellite breakup. The two major classes of satellite breakups are explosions and collisions. Before the anti-satellite test on the FengYun 1-C (FY-1C) weather"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat - A destructive Laboratory Test of a Satellite 2,"satellite by China in 2007, the fragmentation debris population was almost all generated by explosions. After the FY-1C event and the collision between Iridium 33 and Cosmos 2251 in 2009, the numbers of the catalogued explosion fragments and collision fragments were about equal. Based on various modelling projection studies of the debris environments in low Earth orbit (LEO, the region below 2000 km altitude), collision fragments are expected to dominated the environment in the future – a phenomenon known as the ""Kessler Syndrome"" and predicted by Kessler and Cour-Palais in 1978. Background: A satellite breakup model consists of three fundamental components – fragment size, A/M (Area-to-Mass ratio), and relative velocity (ΔV) distributions. The fragment size distribution quantifies the amount of fragments generated from the event and the ΔV distribution specifies the initial spread of the fragment cloud. The A/M distribution determines the solar radiation pressure and atmospheric drag perturbations on the fragments. The latter is directly related to the orbital lifetimes of fragments below about 1000 km altitude. These three components provide the key information to model the orbital evolution of fragments and their short and long-term distributions, including spatial density, velocity distribution, and flux, in the near-Earth environment. For spacecraft (S/C) OD impact damage assessments, additional information, such as the shape and material density of the impacting debris, is needed to improve the reliability of the assessments. The U.S. Space Surveillance Network (SSN) provides tracking data and maintains a catalog for the large objects in the near-Earth space. The size limits for the catalogued objects"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat - A destructive Laboratory Test of a Satellite 3,"are about 10 cm in LEO and about 1 m in the geosynchronous region. The size information of a tracked debris can be inferred from its RCS (Radar Cross Section). The A/M of a LEO debris below 1000 km altitude can also be estimated based on the atmospheric drag perturbations on its orbital history. For smaller debris, however, no such data exist. Because of the high impact speed in LEO (with an average of 10 km/s), even a sub-millimeter debris could be a safety concern for human space activities and robotic missions. Laboratory-based satellite impact experiments, therefore, are necessary to provide data for the physical properties of fragments smaller than 10 cm. To characterize the outcome of a satellite collision and the properties of the generated fragments, the DoD (Department of Defense) and NASA conducted several series of laboratory impact tests in the 1980's and the early 1990's. One of the test series, the SOCIT (Satellite Orbital Debris Characterization Impact Test), led to a key laboratory-based dataset used in the development of the current NASA and DoD satellite breakup models. These models have been used for various orbital debris applications for more than 10 years. The target used for SOCIT was a flight-ready Navy Transit navigation satellite (46 cm diameter by 30 cm height, 34.5 kg) fabricated in the 1960's. As materials, components, and construction techniques for satellite design and fabrication continue to advance, there is a need to conduct new impact experiments on targets more representative of the modern satellites. The data can be used"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat - A destructive Laboratory Test of a Satellite 4,to supplement the existing models to better describe the breakup outcome of a modern satellite.
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat Spacecraft 1,"DebriSat Spacecraft The effort to conduct an impact experiment on a new target satellite, the DebriSat, was initiated by the NASA ODPO (Orbital Debris Program Office) in 2011. The responsibilities of the ODPO are to provide project and technical oversight and lead the efforts for data collection, analyses, and NASA model improvements. The DebriSat project is co-sponsored by the Air Force's SMC (Space and Missile Systems Center). The SMC team provides technical oversight, supports data analyses, and leads the effort for DoD model improvements. The design and fabrication of DebriSat are led by UF (University of Florida) with subject matter experts' support provided by the Aerospace Corporation. The UF team also leads the post-impact fragment collection and measurements. The hypervelocity impact destruction of DebriSat will be conducted at the AEDC (Arnold Engineering Development Complex) of the USAF, located at Arnold AFB, Tennessee. Design of DebriSat: DebriSat is intended to be representative of modern LEO satellites. To achieve traditional improvements over the SOCIT test series, DebriSat is 45% more massive than Transit. It is also covered with MLI and equipped with deployable solar panels. Table 1 provides a comparison between DebriSat and Transit. The design of DebriSat started with a survey of LEO satellites launched between 1997 and 2011. Based on the availability of the data, 50 representative satellites were selected for analysis. Common subsystem, materials, mass fractions, structure, and construction methods of the sample satellites were identified. DebriSat includes seven major subsystems -ADCS (Attitude Determination and Control Subsystem), C&DH (Command and Data Handling), EPS (Electrical Power"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat Spacecraft 2,"Subsystem), payload, propulsion, TT&C (Telemetry Tracking and Command), and thermal management. The ADCS subsystem includes two star trackers, four sun sensors, one inertial measurement unit, one magnetometer, the magnetorquers, four reaction wheels, and one avionics module. The C&DH subsystem includes a flight computer, one data recorder, and cables inside shielded boxes. The EPS includes mock-up batteries, one power management and distribution module, and three deployable solar panels (30 cm x 50 cm each). The DebriSat payloads consist of two spectrometers and one optical imager. The propulsion subsystem includes one COVP (Composite Overwrapped Pressure Vessel), three thruster pairs, and one plumbing system. This is based on the assumption that future payloads will be in compliance with the post-mission passivation guideline adopted by the international community. The TT&C includes on S-band antenna, one X-band antenna, two UHF/VHF omnidirectional antennas, and avionics boxes. The thermal management subsystem is based on the capillary pump loop design. It includes one thermal reservoir, heat pipes, Kapton heaters. MLI (Multi-Layer Insulation) will also be used to wrap some components and cover most of the exterior of DebriSat. To reduce the cost of the project, a decision was made to emulate the majority of the components. The emulated components were based on existing designs of flight hardware, including dimensions, materials, and connection mechanisms. The designs of the emulated components were reviewed by subject matter experts to ensure the quality of the products. For example, the DebriSat design includes four reaction wheels in the ADCS. One of them was acquired from Sinclair Interplanetary while the"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,DebriSat Spacecraft 3,"other three were emulated based on the design of the first one (Figure 3). In addition to the subsystems, flight quality cables, harnesses, and connectors were obtained from a cancelled DoD satellite project for the fabrication of DebriSat. The shape of the DebriSat main body is a hexagonal prism, as shown in Figure 4. The structure includes two aluminum top and bottom hexagonal panels, six composite side panels and six ribs made of carbon fiber face sheets and aluminum honeycomb cores, and six aluminum longerons. Three deployable solar panels are mounted to one side of the main body. The detailed layout and the locations of the major components are shown in Figure 5."
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,Hypervelocity Impact Facility at AEDC (Arnold Engineering Development Complex) 1,"Hypervelocity Impact Facility at AEDC (Arnold Engineering Development Complex) Previous laboratory-based hypervelocity impact tests have indicated that when the impact kinetic energy to the target mass ratio (EMR) is 40 J/g or higher, the outcome of the impact is catastrophic - meaning the target is completely fragmented into tens of thousands of pieces. Similar to the SOCIT tests, to exceed this EMR threshold for DebriSat, the hypervelocity impact has to be carried out at the AEDC facility. The AEDC Range G Complex maintains and operates the largest two stage light gas gun in the United States. The range has several launchers capable of accelerating 500 g projectiles up the 7 km/s or 15 kg projectiles up to 3 km/s. The target is placed inside the 3 m diameter cylinder range tank (Figure 6). The projectile selected for DebriSat impact is an aluminum sphere with a minimum diameter of 5 cm and a mass of 176 g. The impact speed is planned for 7 km/s. The expected EMR is 86 J/g. The Range G launcher is a two-stage, light-gas gun that is capable of launching various types of projectiles at velocities up to 7 km/s. The facility is routinely launches projectiles at velocities between 3-6 km/s. Projectiles up to 203 mm in diameter are launched into a 3 m diameter, 283.5 m long instrumented tank that can be maintained at pressures from 0.2 torr to 1.7 atmospheres. The launcher started test operations in 1962 at 63.5 mm diameter, but has been significantly upgraded over the years to"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,Hypervelocity Impact Facility at AEDC (Arnold Engineering Development Complex) 2,"launch larger masses at high velocities and lower peak acceleration loads. Currently the facility has three sizes of interchangeable barrels: 84 mm , 102 mm, and 203 mm. The range tank is equipped with several diagnostic instruments. They include X-ray systems with 2 µs intervals between frames, high speed CCD cameras, and options for additional systems, such as laser, to record the impact process and to potentially collect data for ΔV measurements for some of the fragments immediately after the impact. An option to install low-mass piezoelectric sensors inside DebriSat to measure the propagation of shockwaves during breakup is also being considered. Low density foam panels will be installed inside the target range as illustrated in Figure 7. The purpose is to ""soft catch"" fragments after the impact and to protect the chamber. Polyurethane from stacks, consisting of panels of different densities (0.06, 0.096, and 0.192 g/cm3) and with a total thickness of up to 25 cm, were used during the SOCIT test series. For DebriSat, new foam materials and configuration will be adopted to capture fragments, reduce damage to the fragments, and to allow for easy extraction of fragments from the panels for post-test measurements. Legend to Figure 8: DebriSat is a non-functional, full-scale representation of a modern satellite. The satellite was designed and fabricated by the University of Florida and supplied to AEDC for destruction. 8) -I n addition to the DebriSat, AEDC Range G also helped the DoD, NASA and the Aerospace Corporation perform hypervelocity impact experiments involving an upper stage of a"
0,DebriSat,https://directory.eoportal.org/web/eoportal/satellite-missions/d/debrisat,EoPortal,EoPortal,Hypervelocity Impact Facility at AEDC (Arnold Engineering Development Complex) 3,"launch vehicle dubbed ""DebrisLV"" and a spacecraft protection device commonly called a Whipple Shield. Cooperative work between AEDC and the test customers allowed these additional test articles to be installed for the two facility checkout runs prior to the DebriSat test. • Pre-test foam panel placement is displayed in this DebriSat before impact photo (Figure • Low-density polyurethane foam panels , each < 5 cm thick were installed inside target chamber one on top of the other (the most dense panel on the bottom) • Panel colors indicate position in the chamber only • Wide panels were placed horizontally and vertically • Narrow panels were placed at 45deg to allow nearly full coverage of the interior of the chamber • A 30º debris cone spread was expected by the operators to the end of the chamber DebriSat impact test: The DebriSat impact test was successfully carried out at AEDC Range G on 15 April, 2014. Figure 9 illustrates the impact sequences of DebriSat. Portions of the rear nylon cap fragmented and trailed the aluminum cylinder during flight, but this did not affect the planned catastrophic outcome of the impact. Fragments characterization plan: After the hypervelocity impact on DebriSat, fragments down to ~ 2 mm in size will be collected and identified individually. The goal is to recover at least 90% of the total DebriSat mass from the fragments. The data measurement task is divided into two parts. The first part is for fundamental data to improve the satellite breakup model. The plan is to measure the"
