,title,link,authors,source,par_num,paragraph
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,abstract,"For semantic segmentation of remote sensing images (RSI), trade-off between
representation power and location accuracy is quite important. How to get the
trade-off effectively is an open question,where current approaches of utilizing
very deep models result in complex models with large memory consumption. In
contrast to previous work that utilizes dilated convolutions or deep models, we
propose a novel two-stream deep neural network for semantic segmentation of RSI
(RSI-Net) to obtain improved performance through modeling and propagating
spatial contextual structure effectively and a decoding scheme with image-level
and graph-level combination. The first component explicitly models correlations
between adjacent land covers and conduct flexible convolution on arbitrarily
irregular image regions by using graph convolutional network, while densely
connected atrous convolution network (DenseAtrousCNet) with multi-scale atrous
convolution can expand the receptive fields and obtain image global
information. Extensive experiments are implemented on the Vaihingen, Potsdam
and Gaofen RSI datasets, where the comparison results demonstrate the superior
performance of RSI-Net in terms of overall accuracy (91.83%, 93.31% and 93.67%
on three datasets, respectively), F1 score (90.3%, 91.49% and 89.35% on three
datasets, respectively) and kappa coefficient (89.46%, 90.46% and 90.37% on
three datasets, respectively) when compared with six state-of-the-art RSI
semantic segmentation methods."
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,1," VOLUME XX, 20 22  1 Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000.  Digital Object Identifier 10.1109/ACCESS. 2022 .Doi Number  RSI-Net: Two -Stream Deep Neural Network for Remote Sensing Images -based Semantic Segmentation  Shuang  He1,2, Xia Lu1,2, Jason Gu3, Senior Member, IEEE,  Haitong Tang1,2, Qin Yu4, Kaiyue Liu1,2, Haozhou Ding5, Chunqi Chang6,7 and Nizhuan Wang1,2,4,8 1Jiangsu Key laboratory of Marine Bioresources and Environment/Jiangsu Key laboratory of Marine Biotechnology/Co -Innovation Center of Jiangsu Marine Bio -Industry Technology, Jiangsu Ocean University, Lianyungang, 222005, China   2School of Geomatics and Marine Information, Jiangsu Ocean University, Lianyungang, 222005, China   3Department of Electrical and Computer Engineering, Dalhousie University, Halifax, NS B3H 4R2, Canada   4School of Computer Engineering, Jiangsu Ocean University, Lianyungang, 222005, China  5School of Computer and Software, Nanjing University of Information Science and Technology, Nanj ing, 211800, China   6School of Biomedical Engineering, Health Science Center, Shenzhen University, Shenzhen, 518060, China  7Peng Cheng Laboratory, Shenzhen, 518055, China  8School of Biomedical Engineering, ShanghaiTech University, Shanghai, 201210 , China.  Corresponding author s: Nizhuan Wang  (wangnizhuan1120@gmail.com ), Xia Lu  (2008000070@jou.edu.cn ), Chunqi Chang  (cqchang@szu.edu.cn ). This study was supported by the National Natural Science Foundation of China (No. 41506106, 61701318, 61971289), Project of  Six Talent Peaks of Jiangsu Province (No. SWYY -017), Shenzhen Fundame ntal Research Project (No. JCYJ20170412111316339), Shenzhen -Hong Kong Institute of Brain Science -Shenzhen Fundamental Research Institutions, Project of Huaguoshan Mountain Talent Plan -"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,2,"Doctors for Innovation and Entrepreneurship, Jiangsu University Superi or Discipline Construction Project Funding Project (PAPD)) , and Jiangsu Province Graduate Research and Practice Innovation Program Project (No. KYCX2021 -027).  ABSTRACT  For semantic segmentation of remote sensing images (RSI), trade -off between representat ion power and location accuracy is quite important. How to get the trade -off effectively is an open question, where current approaches of utilizing very deep models result in complex models with large memory consumption. In contrast to previous work that u tilizes dilated convolutions or deep models, we propose a novel two -stream deep neural network for semantic segmentation of RSI (RSI -Net) to obtain improved performance through modeling and propagating spatial contextual structure effectively and a decodin g scheme with image -level and graph -level combination. The first component explicitly models correlations between adjacent land covers and conduct flexible convolution on arbitrarily irregular image regions by using graph convolutional network, while dense ly connected atrous convolution network (DenseAtrousCNet) with multi -scale atrous convolution can expand the receptive fields and obtain image global information. Extensive experiments are implemented on the Vaihingen, Potsdam and Gaofen RSI datasets, wher e the comparison results demonstrate the superior performance of RSI -Net in terms of overall accuracy  (91.83% , 93.31%  and 93.67%  on three dataset s, respectively) , F1 score  (90.3% , 91.49%  and 89.35%  on three dataset s, respectively)  and kappa coefficient  (89.46% , 90.46%  and 90.37%  on three dataset s, respectively)  when"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,3,"compared with six state-of-the-art RSI semantic segmentation methods.  INDEX TERMS  Convolutional neural network (CNN); graph convolutional network (GCN); encoder; decod er; feature fusion; semantic segmentation.  I. INTRODUCTION  Semantic segmentation of high -resolution remote sensing image (RSI) can help to extract the land use and land cover (LULC) information [1-5], and has diverse applications, e.g., monitoring [6, 7] , planning [8, 9] , and detection [10, 11] . However, RSI due to the topography with different characteristics, different terrain and different scales are often quite distinct, and the image boundary details of various shapes also make the image segmentation task very challenging.  Conventional methods employ handcrafted features for machine learning [12-15]. Recently deep convolutional neural networks (DC NNs) [16, 17]  have achieved great success in the semantic segmentation of natural scene by learning feature representations and classifier parameters simultaneously. DCNN -based methods obtain high -level features of images but may lose resolution as well and  VOLUME XX, 20 22   2 therefore fail to effectively utilize context information, resulting in rough segmentatio n and discontinuous boundaries. Advanced neural network models such as fully convolutional network (FCN) [18], SegNet [19], U-Net [20] and DeepLab [21] can effectively retain location information while extracting high -level features. The capability of restoring pixel categories makes FCN suitable for i mage semantic segmentation but lacking spatial consistency since relationships between pixels are not fully considered, while SegNet and U -Net are computationally intensive. In DeepLab [21-23], a fully connected conditional random field (CRF) layer"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,4,"is added to the end of the FCN to further exploit relationships among pixels, and the whole network is trained in Zheng et al.  [24] in an end -to-end way .  Traditional RSI segmentation models are designed for Euclidean dat a and often ignore the inherent correlation between adjacent land covers, while the recently developed graph convolutional networks (GCNs) work directly on structural graphs [25, 26]  and can be naturally applied to model spatial r elations in RSIs, as demonstrated in Mou et al. [27] for hyperspectral image segmentation. If each pixel is treated as a graph node, then the computation of GCN is highly demanded due to the enormous number of pixels in high-resolution RSIs, therefore in [28] superpixels instead of pixels are utilized as the nodes t o greatly reduce the size of the GCN. Though superpixel -based GCN can model various spatial structures of  land cover, it cannot generate subtle individual features for each pixel. In contrast, CNN can learn local ly spectral and spatial features at the pixe l level, but its receptive field is usually limited to a small square window.  Thus, i n this article, a novel dual -stream deep neural network integrating advantages of both GCN and CNN is proposed for semantic segmentation of RSIs, where GCN is utilized to work on graph -level features which have clearer semantic references than image -level features, and CNN with expanded receptive field due to atrous convolution is also included to capture pixel -level multi -scale contextual"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,5,"information, with effectiveness de monstrated on three pubic datasets. More specifically, the main contributions of this paper are summarized as follows.  1) A novel end -to-end two -stream deep neural network integrating CNN and GCN, named RSI -Net is proposed to process semantic information at both image and graph levels for improved semantic segmentation of RSIs. It includes a two-stream (GCN and CNN) encoder and a fused decoder.  2) In the CNN stream, multi -scale atrous convolution is utilized to exp and the receptive fields for improved capability of learning local information and correlations, which help to capture more boundary related semantic information from RSIs.  3) The novel fused decoder incorporates both high and low level as well as graph -level features to achieve improved semantic segmentation performance.  4) Experimental results on three public RSI datasets demonstrate the superior performance of the proposed RSI -Net as compared to a number of state -of-the-art counterparts.  The rest  organization  of this article is given  as follow . First, the Section II describes the related works and background. Then, details of the proposed model and embedding modules are provided in Section III. Next, the Section IV -VI depict the experimental desig n, results analysis and discussions. Finally, Section VII concludes our main work and feature work.   II. RELATED WORKS  A. Fully Convolutional Network (FCN) Based Structure for Semantic Segmentation  FCN is a fully convolutional network compatible with arbitrar y size images and performs semantic segmentation in a"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,6,"fully supervised learning manner [18]. Skip -layers structure is utilized in FCN to achieve the complement of shallow detail information. Many of the state -of-the-art semant ic segmentation methods are based on FCNs. Instead of following the jump connection structure of the typical FCN , the SegN et [19] is an encoder -decoder network  with an innovation in upsampling, which recovers detailed information by drawing on the maximum pooling index in the decoding process, while U -Net [20] utilizes more shal low features to supplement detailed information. Since the aforementioned semantic segmentation models do not make good use of contextual information and thus lead to unsatisfactory segmentation, a novel model named PSPNet with a Pyramid Pooling Module (PP M) is proposed in Zhao et al.  [29] to establish connections between contexts for improved feature representation, but it has the problem of losing pixels when increasing the field of sensation by pooling operations, which may be alleviated by atrous convolution [30] that can obtain a different perception of the field without changing the amount of computation as shown in Figure 1. However, atrous convolution suffers from the severe problem of losing lo cal information, especially for large null rate and small targets. The hybrid atrous convolution [31] and Deeplab series [21-23] have been developed to effectively alleviate the problem of losing local information.  B. Graph Convolutional Network (GCN)  A graph is a nonlinear structure used in a non -Euclidean space to represent connections. An undirected graph [32] is defined as =(,,), where "
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,7,"denotes the ver tex set with ||=,  denotes the edge set of the graph , and  indicates the adjacen t matrix, each entry  represents edge s weight between vertex  and vertex , respectively . We denote the diagonal degree matrix of  as , whose entry = =1  [32]. Then, the Laplacian matrix of graph  can be defined as   = . (1)  VOLUME XX, 20 22   3 To enhance the generalization ability of the graph, the symmetric normalized Laplacian Matrix is defined as   =  (2) where  is an identity matrix. Shuman et al.  [33-35] extended the Fourier signals transformation specified on graphs and created the graph -struct ured data transition operation. Graph  convolution of a graph -structure d signal  with a filter , is defined a s =() (3) where  represents the diagonal matrix of the eigenvalues of the normalized graph Laplacian  ,with   and  as the adjacency matrix  and degree matrix  of , respectively ;  represents the eigenvectors of ; and () is the Fourier transform [33] of , which can be calculated as  ()=2t . (4) In addition,  denotes the graph Fourier transform of . () can be framed as a function of the eigenvalues of . However, it can be noted that Eq. (3) requires explicitly calculating the Laplacian eigenvectors, which are not computationally feasible for large graphs. To circumvent this problem, a possible way is"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,8,"to approximate the filter  by the Chebyshev polynomi als up to the K-th order. Hence, Hammond et al.  [36] proposed the following -localized convolution on graphs:   = ()=0 (5) where  is the Chebyshev polynomials. Recently, Kipf and Welling [25] simplified Eq. (5) by limiting  = 1 and further approximating the largest eigenvalue   = 2, where Eq. (4) can be rewritten as   = ( + 1212)  (6) Then, they consider a GCN with the following propagation rule  (+1) = (1212()())  (7) where () and (+1) are the input and output, respectively, and () represents the weights.  With the rapid development of graph convolution,  GCN has been widely applied to various application, such as recommender systems [37], semantic segmentation [34], etc. Besides, to our best knowledge, GCN has also been deployed for RSI semantic segmentation. However, Ma et al.  [38] only utilized a fixed graph during the node convolution process, which led to the intrinsic relationship among the pixels canno t be precisely reflected. Moreover, the features extracted from the GCN are rich in semantic information, yet have blurred spatial and boundary  details.  Generally  speaking , CNN is used to process certain class of graph data with a fixed 2D raster structur e though the adjacency matrix is not explicitly expressed, while GCN is used to process more general ly unstructured graph data [39]. Similar to CNN, convolution kernels in GCN [40] work on all nodes of the graph,"
0,RSI-Net: Two-Stream Deep Neural Network for Remote Sensing Imagesbased Semantic Segmentation,http://arxiv.org/pdf/2109.09148v2,"Shuang He, Xia Lu, Jason Gu, Haitong Tang, Qin Yu, Kaiyue Liu, Haozhou Ding, Chunqi Chang, Nizhuan Wang",Arxiv,9,"and the weights are sh ared in the calculation at each node, resulting in a remarkable reduction of the number of network parameters  and effective avoidance of overfitting.  III. METHODS  In order to solve the problems of blurred boundary and the inaccurate existence of thin and s mall scatter in RSIs segmentation , in this section, we propose a novel RSI -net for high-resolution RSIs semantic segmentation by incorporating both GCN and atrous CNN to extract  both graph -level and contextual  scene information from  RSIs.  As illustrated in  Figure 2, the proposed RSI -net has  two feature extraction encoder stream s and a novel designed decoder  part, i.e. , GCN -based graph feature extractor and atrous CNN -based image feature extractor, in the encoder to learn the discriminative semantic informat ion, while in the decoder  the graph -level features generated by GCN -based encoder and the high/low -InputConv1Conv2 InputConv1Conv2  (a) (b)  Fig. 1.  Schematic diagram of reception fields  of normal convolution and atrous convolution. (a) Description of normal convolution; (b) Description of atrous convolution .    VOLUME XX, 20 22   4 level image features produced by CNN -based  encoder are decoded and fused to learn  complementary  representation s for final semantic segmentation . A. GCN Encoder  The GCN encoder in the proposed RSI -Net aims to learn a latent graph representation of global context information in the scene image without relying on prior"
